pageid,ns,title,contentmodel,pagelanguage,pagelanguagehtmlcode,pagelanguagedir,touched,lastrevid,length,talkid,fullurl,editurl,canonicalurl,article_rating,watchers,redirect,new
41428570,0,Davood Moradian,wikitext,en,en,ltr,2024-09-28T23:11:36Z,1239319380,2260,41631237.0,https://en.wikipedia.org/wiki/Davood_Moradian,https://en.wikipedia.org/w/index.php?title=Davood_Moradian&action=edit,https://en.wikipedia.org/wiki/Davood_Moradian,Stub,,,
2202177,0,Fazal Hadi Shinwari,wikitext,en,en,ltr,2024-10-12T10:14:56Z,1242412237,15076,8160597.0,https://en.wikipedia.org/wiki/Fazal_Hadi_Shinwari,https://en.wikipedia.org/w/index.php?title=Fazal_Hadi_Shinwari&action=edit,https://en.wikipedia.org/wiki/Fazal_Hadi_Shinwari,GA,,,
2333651,0,Gholam Rabani Nasher,wikitext,en,en,ltr,2024-10-13T20:02:57Z,1136534788,2427,7102786.0,https://en.wikipedia.org/wiki/Gholam_Rabani_Nasher,https://en.wikipedia.org/w/index.php?title=Gholam_Rabani_Nasher&action=edit,https://en.wikipedia.org/wiki/Gholam_Rabani_Nasher,Stub,,,
27669652,0,Ghulam Faroq Nijrabi,wikitext,en,en,ltr,2024-10-13T20:04:55Z,1136614778,1741,28093423.0,https://en.wikipedia.org/wiki/Ghulam_Faroq_Nijrabi,https://en.wikipedia.org/w/index.php?title=Ghulam_Faroq_Nijrabi&action=edit,https://en.wikipedia.org/wiki/Ghulam_Faroq_Nijrabi,Stub,,,
25634863,0,Ghulam Hassan Safi,wikitext,en,en,ltr,2024-09-28T23:10:53Z,1176507815,1688,27237342.0,https://en.wikipedia.org/wiki/Ghulam_Hassan_Safi,https://en.wikipedia.org/w/index.php?title=Ghulam_Hassan_Safi&action=edit,https://en.wikipedia.org/wiki/Ghulam_Hassan_Safi,Stub,,,
27657851,0,Ghulam Mohammad Rigi,wikitext,en,en,ltr,2024-10-13T20:04:55Z,1129192917,1535,28093449.0,https://en.wikipedia.org/wiki/Ghulam_Mohammad_Rigi,https://en.wikipedia.org/w/index.php?title=Ghulam_Mohammad_Rigi&action=edit,https://en.wikipedia.org/wiki/Ghulam_Mohammad_Rigi,Stub,,,
27656776,0,Gul Ahmmad Yama,wikitext,en,en,ltr,2024-10-13T20:04:55Z,1136614561,3324,28093452.0,https://en.wikipedia.org/wiki/Gul_Ahmmad_Yama,https://en.wikipedia.org/w/index.php?title=Gul_Ahmmad_Yama&action=edit,https://en.wikipedia.org/wiki/Gul_Ahmmad_Yama,Start,,,
36473152,0,Hanifa Safi,wikitext,en,en,ltr,2024-09-27T01:31:13Z,1123824802,1885,37045459.0,https://en.wikipedia.org/wiki/Hanifa_Safi,https://en.wikipedia.org/w/index.php?title=Hanifa_Safi&action=edit,https://en.wikipedia.org/wiki/Hanifa_Safi,Stub,,,
27666240,0,Hasan Ali Sultani,wikitext,en,en,ltr,2024-10-13T20:04:55Z,1136614726,1975,28093453.0,https://en.wikipedia.org/wiki/Hasan_Ali_Sultani,https://en.wikipedia.org/w/index.php?title=Hasan_Ali_Sultani&action=edit,https://en.wikipedia.org/wiki/Hasan_Ali_Sultani,Stub,,,
41892010,0,Hysni Curri,wikitext,en,en,ltr,2024-10-13T20:06:14Z,1198914812,12108,42108932.0,https://en.wikipedia.org/wiki/Hysni_Curri,https://en.wikipedia.org/w/index.php?title=Hysni_Curri&action=edit,https://en.wikipedia.org/wiki/Hysni_Curri,Start,,,
